City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,invercargill,-46.4,168.35,49.75,93,98,4.54,NZ,2025-03-09 12:44:13
129,avarua,-21.2078,-159.775,78.85,89,20,5.75,CK,2025-03-09 12:44:15
130,wuyang,31.9925,116.2472,52.79,70,100,6.15,CN,2025-03-09 12:44:16
131,dryden,49.7833,-92.7503,30.49,86,40,9.22,CA,2025-03-09 12:44:17
132,guarapari,-20.6667,-40.4975,84.7,56,0,10.13,BR,2025-03-09 12:44:18
133,tela,15.7833,-87.45,71.55,94,0,0.0,HN,2025-03-09 12:44:19
134,bilibino,68.0546,166.4372,-18.49,94,100,4.72,RU,2025-03-09 12:44:21
135,tenango de arista,19.1017,-99.5931,38.86,42,0,4.88,MX,2025-03-09 12:44:22
136,nar'yan-mar,67.6713,53.087,10.81,92,14,8.05,RU,2025-03-09 12:44:23
137,mayna,54.1135,47.6231,37.49,86,98,17.47,RU,2025-03-09 12:44:24
138,tidjikja,18.5564,-11.4271,89.94,12,2,7.74,MR,2025-03-09 12:44:26
139,salym,60.0625,71.4789,3.42,98,99,3.29,RU,2025-03-09 12:44:27
140,berezovyy,51.6667,135.7,7.59,88,6,5.68,RU,2025-03-09 12:44:29
141,carnarvon,-24.8667,113.6333,75.56,71,0,24.83,AU,2025-03-09 12:44:30
142,papatowai,-46.5619,169.4708,49.96,94,100,4.18,NZ,2025-03-09 12:44:32
143,santa cruz,-17.8,-63.1667,69.85,100,100,13.8,BO,2025-03-09 12:42:27
144,puerto ayora,-0.7393,-90.3518,74.55,97,59,2.24,EC,2025-03-09 12:44:34
145,balaipungut,1.05,101.2833,75.49,94,100,2.66,ID,2025-03-09 12:44:35
146,jeddah,21.5169,39.2192,82.26,36,0,16.11,SA,2025-03-09 12:44:36
147,constitucion,-35.3333,-72.4167,62.42,41,38,4.9,CL,2025-03-09 12:44:37
148,aasiaat,68.7098,-52.8699,24.17,94,71,3.96,GL,2025-03-09 12:44:38
149,sidney,-33.8679,151.2073,73.69,80,1,5.01,AU,2025-03-09 12:41:30
150,moranbah,-22.0016,148.0466,78.75,76,100,15.61,AU,2025-03-09 12:44:40
151,chengde,40.9725,117.9361,43.79,48,0,5.37,CN,2025-03-09 12:44:41
152,atar,20.5169,-13.0499,84.0,20,0,9.22,MR,2025-03-09 12:44:43
153,salina cruz,16.1667,-95.2,75.34,88,69,6.58,MX,2025-03-09 12:44:44
154,solnechniy,56.5438,48.4044,34.68,87,93,13.2,RU,2025-03-09 12:44:45
155,florencia,43.7667,11.25,64.35,59,40,3.44,IT,2025-03-09 12:44:46
156,thompson,55.7435,-97.8558,-0.24,85,75,3.44,CA,2025-03-09 12:44:47
157,yellowknife,62.456,-114.3525,-19.68,76,75,5.75,CA,2025-03-09 12:44:49
158,kruisfontein,-34.0033,24.7314,72.37,73,96,12.33,ZA,2025-03-09 12:44:50
159,arno,60.1167,18.6333,41.11,71,100,8.77,SE,2025-03-09 12:44:51
160,salinopolis,-0.6136,-47.3561,78.87,86,89,7.49,BR,2025-03-09 12:44:52
161,coahuayana de hidalgo,18.7,-103.6583,68.59,42,0,3.94,MX,2025-03-09 12:44:53
162,sao joao de pirabas,-0.7747,-47.1772,78.62,87,97,5.68,BR,2025-03-09 12:44:54
163,pelabuhanratu,-6.9875,106.5514,78.06,89,100,3.13,ID,2025-03-09 12:40:02
164,drummondville,45.8834,-72.4824,22.01,77,100,9.89,CA,2025-03-09 12:43:04
165,al qusiyah,27.4402,30.8184,76.42,24,0,9.35,EG,2025-03-09 12:44:58
166,league city,29.5075,-95.0949,54.99,85,100,19.57,US,2025-03-09 12:44:17
167,zouerate,22.7187,-12.4521,74.23,34,0,7.92,MR,2025-03-09 12:45:00
168,badger,64.8,-147.5333,21.07,67,40,11.5,US,2025-03-09 12:45:02
169,isangel,-19.55,169.2667,74.23,77,85,12.88,VU,2025-03-09 12:45:03
170,tazovsky,67.4667,78.7,-21.17,92,13,5.95,RU,2025-03-09 12:45:05
171,iqaluit,63.7506,-68.5145,20.93,62,100,5.75,CA,2025-03-09 12:45:06
172,librazhd-qender,41.1969,20.3356,63.28,43,0,6.33,AL,2025-03-09 12:45:07
173,carthage,36.8611,10.3316,71.13,56,20,12.66,TN,2025-03-09 12:45:08
174,kapa'a,22.0752,-159.319,71.92,93,75,21.85,US,2025-03-09 12:45:09
175,bontang,0.1333,117.5,80.1,79,100,14.99,ID,2025-03-09 12:45:10
176,el granada,37.5027,-122.4694,48.27,75,0,4.61,US,2025-03-09 12:45:11
177,ras al khaimah city,25.7895,55.9432,88.02,25,0,23.02,AE,2025-03-09 12:44:11
178,riachao das neves,-11.7461,-44.91,87.84,37,92,6.17,BR,2025-03-09 12:45:13
179,pernik,42.6,23.0333,59.43,30,100,1.61,BG,2025-03-09 12:45:15
180,saudarkrokur,65.7461,-19.6394,28.04,81,95,10.87,IS,2025-03-09 12:45:16
181,idri,27.5,13.2667,84.81,19,0,6.64,LY,2025-03-09 12:45:18
182,susuman,62.7833,148.1667,-18.92,96,100,4.5,RU,2025-03-09 12:45:21
183,anloga,5.7947,0.8973,85.95,73,100,14.58,GH,2025-03-09 12:45:22
184,sao jose da coroa grande,-8.8978,-35.1478,82.02,73,52,8.23,BR,2025-03-09 12:45:24
185,el hadjira,32.6134,5.5126,85.06,14,0,23.91,DZ,2025-03-09 12:45:26
186,rabaul,-4.1967,152.1721,81.84,77,29,1.63,PG,2025-03-09 12:45:28
187,lazaro cardenas,17.9583,-102.2,70.95,91,22,6.13,MX,2025-03-09 12:45:29
188,taltal,-25.4,-70.4833,68.49,76,3,3.04,CL,2025-03-09 12:45:31
189,salinas,36.6777,-121.6555,44.8,87,0,3.44,US,2025-03-09 12:43:59
190,hadibu,12.65,54.0333,82.17,64,5,8.48,YE,2025-03-09 12:45:33
191,kristinestad,62.2743,21.376,32.31,82,100,4.32,FI,2025-03-09 12:45:34
192,selfoss,63.9331,-20.9971,29.05,51,50,4.56,IS,2025-03-09 12:43:45
193,kingston,17.997,-76.7936,79.16,73,20,3.44,JM,2025-03-09 12:43:21
194,ternate,0.8,127.4,80.78,77,93,6.22,ID,2025-03-09 12:45:37
195,telimele,10.9167,-13.3333,100.74,15,58,3.29,GN,2025-03-09 12:45:38
